"Senior Secondary Completion and Achievement Information, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
The SSCAI data is intended to provide information on the programs and pathway options offered at each school.  It is not possible to use the SSCAI to derive state-wide data.,,,,,,,,,,,,,,,,,,,,,,,,
Data is provisional as at 7 December 2024.  The VCAA accepts amendments from schools to 2024 unit results and school-based assessments until late February 2025.,,,,,,,,,,,,,,,,,,,,,,,,
"For schools with fewer than four students in VCE, VET, VPC or HES, the number of students is shown as < 4. The associated measures are listed as I/D (insufficient data).",,,,,,,,,,,,,,,,,,,,,,,,
"© Victorian Curriculum and Assessment Authority, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL IDENTIFICATION,,,SCHOOL PROGRAM,,,,,,,STUDENT COHORT,,,,,STUDENT ACHIEVEMENT,,,,,,,,,
School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Number of Higher Education studies (HES) with enrolments,Enrolment(s) in VCE Vocational Major (VM)Êunit(s)_,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in theÊInternationalÊBaccalaureate (IB) Diploma,Enrolment(s) in NorthernÊHemisphere TimetableÊ(NHT) delivery at Units 3Êand 4 levelÊ_,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Number of students enrolled in an School-based Apprenticeship or Traineeship (SBAT),Number of students enrolled in a Higher Education study (HES),Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over,Number of students awarded the Victorian Pathways Certificate (VPC),,
Academy of Mary Immaculate,,FITZROY,34,8,2,,,,,147,20,-,< 4,93,100,-,10,100,I/D,32,11.3,-,,
Adass Israel School,,ELSTERNWICK,8,3,-,Y,,,,36,49,-,-,-,80,12,-,73,-,-,-,-,,
Adass Israel School,*,EAST ST KILDA,2,2,-,,Y,,,19,39,-,-,-,-,-,-,39,-,-,-,-,,
Advance College of Education,*,ROSEBUD WEST,11,16,-,Y,Y,,,15,29,< 4,-,-,77,10,-,81,-,-,-,14,,
Aitken College,,GREENVALE,41,14,-,Y,,,,160,97,-,-,91,99,8,< 4,99,-,28,4.6,-,,
Al Iman College,,MELTON SOUTH,17,-,-,,,,,32,-,-,-,71,100,-,-,-,-,26,0.8,-,,
Al Siraat College,,EPPING,20,7,2,,,,,106,118,-,< 4,98,98,-,-,99,I/D,31,6.8,-,,
Al-Taqwa College,,TRUGANINA,32,12,-,Y,,,,95,30,-,-,95,100,10,-,76,-,34,9.7,-,,
Albert Park College,,ALBERT PARK,61,17,-,Y,Y,Y,,423,49,< 4,-,84,99,7,10,75,-,31,9.0,-,,
Alexandra Secondary College,,ALEXANDRA,19,6,-,Y,,,,87,54,-,-,51,91,5,-,51,-,24,2.6,-,,
Alia College,,HAWTHORN EAST,22,2,-,,,,,22,< 4,-,-,38,81,-,-,I/D,-,24,2.1,-,,
Alice Miller School,,MACEDON,26,9,4,,,,,53,29,-,< 4,77,100,-,< 4,84,I/D,32,12.2,-,,
Alkira Secondary College,,CRANBOURNE NORTH,61,34,-,Y,Y,,,376,176,4,-,67,96,59,< 4,88,-,29,2.8,< 4,,
Alphington Grammar School,,ALPHINGTON,21,-,-,,,,,77,-,-,-,100,100,-,< 4,-,-,30,12.4,-,,
Altona College,,ALTONA,31,15,-,Y,,,,58,46,6,-,41,100,4,-,81,-,26,3.9,-,,
Antonine College,,PASCOE VALE SOUTH,25,12,-,Y,,,,102,72,-,-,75,95,5,< 4,90,-,26,3.3,-,,
Apollo Bay P-12 College,,APOLLO BAY,26,4,-,Y,,,,44,30,< 4,-,64,100,< 4,-,85,-,30,10.7,-,,
Aquinas College,,RINGWOOD,80,39,2,Y,Y,,,383,183,23,< 4,76,99,34,5,71,I/D,29,5.1,< 4,,
Ararat Secondary College,,ARARAT,28,20,-,Y,,,,65,47,< 4,-,30,89,< 4,-,98,-,26,1.2,-,,
Armstrong Creek School,*,ARMSTRONG CREEK,1,1,-,,Y,,,6,6,-,-,-,-,-,-,-,-,-,-,7,,
Ashwood High School,,ASHWOOD,47,22,2,Y,,,,165,44,6,< 4,72,99,18,6,79,I/D,31,8.1,-,,
Assumption College,,KILMORE,74,40,-,Y,Y,,,310,237,19,-,57,100,24,-,82,-,28,2.2,< 4,,
Auburn High School,,HAWTHORN EAST,29,8,-,,,Y,,177,12,-,-,86,99,-,11,94,-,31,8.6,-,,
Australian Internatl Academy,,COBURG,17,-,-,,,Y,,50,-,-,-,91,100,-,-,-,-,20,1.2,-,,
Australian Internatl Academy,,CAROLINE SPRINGS,12,-,-,,,Y,,34,-,-,-,97,100,-,-,-,-,22,4.0,-,,
Ave Maria College,,ABERFELDIE,40,15,-,Y,,,,173,71,< 4,-,98,100,10,4,98,-,31,10.5,-,,
Avila College,,MOUNT WAVERLEY,51,28,2,Y,Y,,,257,84,-,< 4,92,99,10,20,94,I/D,32,11.5,< 4,,
Bacchus Marsh College,,BACCHUS MARSH,46,35,-,Y,,,,175,142,< 4,-,57,97,28,-,71,-,24,0.3,-,,
Bacchus Marsh Grammar,,BACCHUS MARSH,45,4,-,Y,,,,469,76,-,-,88,100,15,13,100,-,32,13.9,-,,
